//Index   Rate   Name                                 Level   MaxLife   MaxMana   DamageMin   DamageMax   Defense   MagicDefense   AttackRate   DefenseRate   MoveRange   AttackType   AttackRange   ViewRange   MoveSpeed   AttackSpeed   RegenTime   Attribute   ItemRate   MoneyRate   MaxItemLevel   MonsterSkill   Resistance1   Resistance2   Resistance3   Resistance4
15        1      "Skeleton Archer"                    34      1100      0         115         120         45        0              170          41            2           0            5             7           400         2000          10          2           190        28          6              0              1             1             1             1
16        1      "Chief Skeleton Warrior"             42      1800      0         135         140         65        0              210          49            2           0            1             4           400         1600          10          2           190        28          4              0              1             1             1             1
17        1      "Cyclops"                            28      850       0         100         105         35        0              140          35            3           0            1             4           400         1600          10          2           170        28          6              0              2             0             0             0
18        1      "Gorgon"                             55      6000      0         165         175         100       0              275          82            3           0            1             7           400         1600          150         2           160        28          3              0              6             6             6             6
19        1      "Yeti"                               30      900       0         105         110         37        0              150          37            2           17           4             6           400         2000          10          2           180        28          6              0              0             3             0             0
20        1      "Elite Yeti"                         36      1200      0         120         125         50        0              180          43            3           0            1             6           400         1400          10          2           180        46          6              0              1             4             1             1
21        1      "Assassin"                           26      800       0         95          100         33        0              130          33            2           0            1             7           400         2000          10          2           180        28          6              0              0             0             0             0
22        1      "Ice Monster"                        22      650       0         80          85          27        0              110          27            2           7            1             5           400         2000          10          2           170        28          6              0              0             3             0             0
23        1      "Hommerd"                            24      700       0         85          90          29        0              120          29            3           0            1             5           400         1600          10          2           170        28          6              0              0             3             0             0
24        1      "Worm"                               20      600       0         75          80          25        0              100          25            3           0            1             4           400         1600          10          2           160        28          6              0              0             2             0             0
25        1      "Ice Queen"                          52      4000      0         155         165         90        0              260          76            3           11           4             7           400         1400          50          2           180        28          3              0              4             5             4             4
26        1      "Goblin"                             3       45        0         7           10          2         0              13           2             2           0            1             4           400         1800          10          2           120        20          6              0              0             0             0             0
27        1      "Chain Scorpion"                     5       80        0         13          17          4         0              23           4             3           0            1             4           400         1800          10          2           120        20          6              0              0             0             0             0
28        1      "Beetle Monster"                     10      165       0         26          31          10        0              44           10            3           0            1             5           400         1600          10          2           140        20          6              0              0             0             0             0
29        1      "Hunter"                             13      220       0         36          41          13        0              56           13            3           0            4             4           400         1600          10          2           140        24          6              0              0             0             0             0
30        1      "Forest Monster"                     15      295       0         46          51          15        0              68           15            3           0            1             4           400         1600          10          2           150        24          6              0              0             0             0             0
31        1      "Agon"                               16      340       0         51          57          16        0              74           16            2           0            1             4           400         1400          10          2           150        24          6              0              0             0             0             0
32        1      "Stone Golem"                        18      465       0         62          68          20        0              86           20            2           0            2             3           400         2200          10          2           160        24          6              0              0             0             0             0
33        1      "Elite Goblin"                       8       120       0         19          23          8         0              33           8             3           0            1             5           400         1600          10          2           130        20          6              0              0             0             0             0
34        1      "Cursed Wizard"                      54      4000      0         160         170         95        0              270          80            3           2            4             7           400         2000          10          2           200        46          3              0              5             5             7             7
35        1      "Death Gorgon"                       64      6000      0         200         210         130       0              320          94            3           150          1             7           400         2000          10          2           180        46          3              0              6             6             6             8
36        1      "Shadow"                             47      2800      0         148         153         78        0              235          67            3           0            1             5           400         1400          10          2           200        28          3              0              3             3             3             5
37        1      "Devil"                              60      5000      0         180         195         115       0              300          88            3           3            4             7           400         2000          10          2           200        46          3              0              5             5             5             7
38        1      "Balrog"                             66      9000      0         220         240         160       0              330          99            3           150          2             7           400         1600          150         2           160        46          3              0              10            10            10            15
39        1      "Poison Shadow"                      50      3500      0         155         160         85        0              250          73            3           1            1             5           400         1400          10          2           200        46          3              0              6             4             4             6
40        1      "Death Knight"                       62      5500      0         190         200         120       0              310          91            3           0            1             7           400         1800          10          2           200        46          3              0              6             6             6             7
41        1      "Death Cow"                          57      4500      0         170         180         110       0              285          85            3           0            1             7           400         1600          10          2           200        46          3              0              5             5             5             7
42	  1	 "Red Dragon"			      47      5000	0	  300	      350	  230	    0	           200	        80	      3	          150	       5	     7	         800	     2000	   28800       2	   100	      0	          4	         0	        100	      254	    100	          100
43        1      "Golden Budge Dragon"                15      2200      0         120         125         45        0              75           30            3           0            1             7           400         1400          600         2           10         20          0              0              2             2             2             2
44        1      "Dragon"                             60      15000     0         190         210         120       0              300          88            3           150          2             7           400         1800          100         2           50         20          0              0              9             7             9             9
45        1      "Bahamut"                            43      2400      0         130         140         65        0              215          52            2           0            1             4           400         1600          8           2           185        28          3              0              1             1             1             1
46        1      "Vepar"                              45      2800      0         135         145         70        0              225          58            3           17           4             7           400         1600          8           2           185        28          3              0              2             2             3             2
47        1      "Valkyrie"                           46      3200      0         140         150         75        0              230          64            3           0            5             7           400         1800          8           2           185        28          3              0              6             2             2             2
48        1      "Lizard King"                        70      9000      0         240         270         180       0              350          115           3           3            3             7           400         1600          15          2           175        46          3              0              7             7             7             7
49        1      "Hydra"                              74      19000     0         250         310         200       0              430          125           3           150          4             7           400         1400          150         2           175        46          3              0              12            12            12            12
51        1      "Great Bahamut"                      66      7000      0         210         230         150       0              330          98            3           0            2             7           400         1600          15          2           175        46          3              0              6             6             6             6
52        1      "Silver Valkyrie"                    68      8000      0         230         260         170       0              340          110           3           7            4             7           400         1600          15          2           175        46          3              0              7             7             7             7
53        1      "Golden Titan"                       53      8000      0         170         180         105       0              265          77            3           150          3             7           400         2000          20          2           200        28          3              0              5             5             5             5
54        1      "Golden Soldier"                     46      3500      0         140         150         75        0              230          64            3           0            5             7           400         1800          20          2           200        28          3              0              3             3             3             3
55        1      "Death King"                         30      1800      0         105         110         37        0              150          37            2           0            2             6           400         1800          20          2           200        28          3              0              2             2             2             2
56        1      "Death Bone"                         24      700       0         85          90          29        0              120          29            3           0            1             5           400         1600          20          2           200        28          4              0              1             1             1             1
57        1      "Iron Wheel"                         80      17000     0         280         330         215       0              446          150           3           0            4             7           400         1400          10          2           160        100         3              0              9             9             9             9
58        1      "Tantalos"                           83      22000     0         335         385         250       0              500          175           3           150          2             7           400         1400          20          2           160        100         3              0              9             9             9             9
59        1      "Zaikan"                             90      34000     0         510         590         400       0              550          185           3           150          5             7           400         1400          150         2           160        100         3              0              13            13            13            15
60        1      "Bloody wolf"                        76      13500     0         260         300         200       0              410          130           3           0            2             7           400         1400          10          2           170        100         3              0              8             8             8             8
61        1      "Beam Knight"                        84      25000     0         375         425         275       0              530          190           3           17           4             7           400         1400          20          2           160        100         3              0              10            10            10            10
62        1      "Mutant"                             72      10000     0         250         280         190       0              365          120           3           0            1             7           400         1400          10          2           170        100         3              0              8             8             8             8
63        1      "Death Beam Knight"                  93      40000     0         590         650         420       0              575          220           3           150          5             7           400         1400          150         2           130        100         3              0              13            13            13            17
64        1      "Ogre archer"                        70      10000     0         220         250         170       0              350          115           3           0            4             7           400         1600          10          2           200        28          3              0              7             7             7             7
65        1      "Elite Ogre"                         74      14000     0         260         290         190       0              400          125           3           150          1             7           400         2000          100         2           180        28          3              0              8             8             8             8
66        1      "Cursed king"                        86      38000     0         500         570         350       0              525          200           3           150          4             7           400         1400          70          2           200        60          3              0              17            17            17            17
67        1      "Metal Balrog"                       77      26000     0         300         360         220       0              385          150           3           150          2             7           400         1600          200         2           160        28          3              0              9             9             9             9
69        1      "Alquamos"                           75      11500     0         255         290         195       0              385          125           3           17           5             5           400         1400          10          2           160        46          3              0              9             9             11            9
70        1      "Queen Rainier"                      82      19000     0         305         350         230       0              475          160           3           17           3             5           400         1400          10          2           160        46          3              0              9             11            12            9
71        1      "Mega Crust"                         78      15000     0         270         320         210       0              430          140           3           0            1             5           400         1400          10          2           160        46          3              0              9             9             12            9
72        1      "Phantom Knight"                     96      41000     0         560         610         425       0              690          270           3           150          2             5           400         1400          30          2           150        46          3              0              14            14            16            14
73        1      "Drakan"                             86      29000     0         425         480         305       0              570          210           3           150          5             5           400         1400          20          2           160        46          3              0              12            12            13            12
74        1      "Alpha Crust"                        92      34500     0         489         540         360       0              620          240           3           0            1             5           400         1400          10          2           160        46          3              0              13            13            14            13
75        1      "Great Drakan"                       100     50000     0         650         700         495       0              800          305           3           150          5             5           400         1400          30          2           140        46          3              0              15            15            17            18
76        1      "Phoenix Darkness shield"            106     73000     0         850         960         580       0              840          305           3           3            3             5           400         1400          10          2           190        28          3              0              30            30            35            30
77        1      "Phoenix of Darkness"                108     95000     0         950         1000        600       0              900          350           1           150          6             7           400         1500          150         2           120        46          4              0              30            30            35            30
78        1      "Golden Goblin"                      20      3100      0         125         130         50        0              100          30            3           0            1             7           400         1400          600         2           10         20          0              0              2             2             2             2
79        1      "Golden Derkon"                      80      23000     0         300         350         230       0              400          90            3           150          2             7           400         1800          5           2           50         20          0              0              9             7             9             9
80        1      "Golden Lizard King"                 83      25000     0         310         360         240       0              415          150           3           3            3             7           400         1600          15          2           175        28          3              0              9             7             9             9
81        1      "Golden Vepar"                       61      6300      0         190         200         110       0              310          90            3           17           4             7           400         1600          8           2           185        28          3              0              0             0             3             0
82        1      "Golden Tantalos"                    90      30000     0         450         560         300       0              450          185           3           150          2             7           400         1400          70          2           180        60          3              0              9             7             9             9
83        1      "Golden Wheel"                       77      15000     0         320         360         230       0              385          160           3           0            4             7           400         1400          70          2           180        60          3              0              9             7             9             9
84        1      "Chief Skeleton Warrior"             33      1100      0         100         120         55        0              190          45            3           0            1             3           400         2000          10          2           300        400         3              0              0             0             0             0
85        1      "Chief Skeleton Archer"              37      1400      0         110         130         65        0              210          49            3           0            5             7           400         1600          10          2           300        400         3              0              0             0             0             0
86        1      "Dark Skull Soldier"                 41      1700      0         120         140         75        0              230          61            3           0            1             3           400         2000          10          2           250        300         3              0              0             0             0             0
87        1      "Giant Ogre"                         44      2100      0         130         150         85        0              250          73            3           17           5             7           400         1600          10          2           250        300         3              0              0             0             0             0
88        1      "Red Skeleton Knight"                47      2800      0         140         160         95        0              270          77            3           0            1             3           400         2000          10          2           200        200         3              0              0             0             0             0
89        1      "Magic Skeleton"                     51      3700      0         150         180         115       0              300          88            4           150          4             6           400         1600          10          2           150        100         4              0              3             3             3             3
90        1      "Chief Skeleton Warrior"             49      3500      0         140         170         90        0              250          76            3           0            1             3           400         2000          10          2           300        400         3              0              1             1             1             1
91        1      "Chief Skeleton Archer"              53      4100      0         150         180         100       0              275          80            3           0            5             7           400         1600          10          2           300        400         3              0              1             1             1             1
92        1      "Dark Skull Soldier"                 56      5000      0         160         190         115       0              300          88            3           0            1             3           400         2000          10          2           250        300         3              0              1             1             1             1
93        1      "Giant Ogre"                         60      6000      0         175         210         130       0              320          95            3           17           5             7           400         1600          10          2           250        300         3              0              1             1             1             1
94        1      "Red Skeleton Knight"                64      7000      0         185         220         170       0              360          110           3           0            1             3           400         2000          10          2           200        200         3              0              1             1             1             1
95        1      "Magic Skeleton"                     69      8000      0         200         240         190       0              400          130           4           150          4             6           400         1800          10          2           150        100         4              0              4             4             4             4
96        1      "Chief Skeleton Warrior"             56      5000      0         160         180         110       0              300          85            3           0            1             3           400         2000          10          2           300        400         3              0              2             2             2             2
97        1      "Chief Skeleton Archer"              61      6500      0         180         200         120       0              330          93            3           0            5             7           400         1600          10          2           300        400         3              0              2             2             2             2
98        1      "Dark Skull Soldier"                 66      8000      0         190         220         150       0              360          98            3           0            1             3           400         2000          10          2           250        300         3              0              2             2             2             2
99        1      "Giant Ogre"                         70      9500      0         210         240         180       0              400          115           3           17           5             7           400         1600          10          2           250        300         3              0              2             2             2             2
100       1      "Lance"                              80      1000      0         100         110         0         0              400          500           0           0            4             1           500         1000          3           1           200        20          0              0              0             0             0             0
101       1      "Iron Stick"                         80      1000      0         110         130         0         0              400          500           0           0            0             1           500         1000          3           1           200        20          0              0              0             0             0             0
102       1      "Fire"                               80      1000      0         130         150         0         0              400          500           0           0            2             1           500         1000          3           1           200        20          0              0              0             0             0             0
103       1      "Meteorite"                          90      1000      0         160         190         0         0              450          500           0           50           0             1           500         1000          3           1           200        20          0              0              0             0             0             0
104       1      "Trap"                               2       50        0         500         600         0         0              800          30            0           50           0             1           0           1000          0           0           0          0           0              0              0             0             0             0
105       1      "Canon Trap"                         80      1000      0         200         203         0         0              400          500           0           0            4             2           500         1000          3           1           200        10          0              0              0             0             0             0
106       1      "Laser Trap"                         80      1000      0         150         152         0         0              400          500           0           0            1             1           500         1000          3           1           200        10          0              0              0             0             0             0
111       1      "Red Skeleton Knight"                74      12000     0         220         260         190       0              440          130           3           0            1             3           400         2000          10          2           200        200         3              0              2             2             2             2
112       1      "Magic Skeleton"                     79      15000     0         230         280         240       0              500          180           4           150          4             6           400         1800          10          2           150        100         4              0              5             5             5             5
113       1      "Chief Skeleton Warrior"             64      7500      0         180         220         150       0              340          98            3           0            1             3           400         2000          10          2           300        400         3              0              4             4             4             4
114       1      "Chief Skeleton Archer"              69      9500      0         200         240         170       0              380          110           3           0            5             7           400         1600          10          2           300        400         3              0              4             4             4             4
115       1      "Dark Skull Soldier"                 75      12000     0         220         260         190       0              440          130           3           0            1             3           400         2000          10          2           250        300         3              0              4             4             4             4
116       1      "Giant Ogre"                         79      15000     0         250         290         210       0              500          150           3           17           5             7           400         1600          10          2           250        300         3              0              4             4             4             4
117       1      "Red Skeleton Knight"                82      18000     0         270         320         290       0              560          170           3           0            1             3           400         2000          10          2           200        200         3              0              4             4             4             4
118       1      "Magic Skeleton"                     84      24000     0         300         350         360       0              640          200           4           150          4             6           400         1800          10          2           150        100         4              0              7             7             7             7
119       1      "Chief Skeleton Warrior"             70      12000     0         210         270         185       0              380          125           3           0            1             3           400         2000          10          2           300        400         3              0              5             5             5             5
120       1      "Chief Skeleton Archer"              75      15000     0         240         300         190       0              420          130           3           0            5             7           400         1600          10          2           300        400         3              0              5             5             5             5
121       1      "Dark Skull Soldier"                 80      19000     0         280         340         220       0              470          175           3           0            1             3           400         2000          10          2           250        300         3              0              5             5             5             5
122       1      "Giant Ogre"                         85      23000     0         340         390         300       0              520          190           3           17           5             7           400         1600          10          2           250        300         3              0              5             5             5             5
123       1      "Red Skeleton Knight"                87      26000     0         370         410         400       0              650          200           3           0            1             3           400         2000          10          2           200        200         3              0              5             5             5             5
124       1      "Magic Skeleton"                     90      32000     0         400         460         450       0              720          260           4           150          4             6           400         1800          10          2           150        100         4              0              8             8             8             8
125       1      "Chief Skeleton Warrior"             76      17000     0         260         290         210       0              460          150           3           0            1             3           400         2000          10          2           300        400         3              0              6             6             6             6
126       1      "Chief Skeleton Archer"              81      20000     0         320         350         270       0              520          160           3           0            5             7           400         1600          10          2           300        400         3              0              6             6             6             6
127       1      "Dark Skull Soldier"                 86      25000     0         390         420         360       0              580          195           3           0            1             3           400         2000          10          2           250        300         3              0              6             6             6             6
128       1      "Giant Ogre"                         90      32000     0         440         500         400       0              660          230           3           17           5             7           400         1600          10          2           250        300         3              0              6             6             6             6
129       1      "Red Skeleton Knight"                94      38000     0         480         540         450       0              720          260           3           0            1             3           400         2000          10          2           200        200         3              0              6             6             6             6
130       1      "Magic Skeleton"                     99      47000     0         530         580         500       0              840          280           4           150          4             6           400         1800          10          2           150        100         4              0              9             9             9             9
131       1      "Castle Gate"                        2       2000      0         0           0           0         0              0            0             0           0            0             0           0           0             0           0           0          0           0              0              100           100           100           100
132       1      "Statue of Saint"                    2       3000      0         0           0           0         0              0            0             0           0            0             0           0           0             0           0           0          0           0              0              100           100           100           100
133       1      "Statue of Saint"                    2       3000      0         0           0           0         0              0            0             0           0            0             0           0           0             0           0           0          0           0              0              100           100           100           100
134       1      "Statue of Saint"                    2       3000      0         0           0           0         0              0            0             0           0            0             0           0           0             0           0           0          0           0              0              100           100           100           100
135       1      "White wizard"                       87      26000     0         370         410         400       0              550          200           4           3            5             6           400         2200          10          2           150        100         4              0              15            15            20            15
136       1      "Destructive ogre soldier"           70      9500      0         210         240         180       0              400          125           3           0            1             3           400         1500          10          2           300        400         3              0              7             7             7             7
137       1      "Destructive ogre archer"            74      12000     0         220         260         190       0              440          130           3           0            5             5           400         1800          10          2           300        400         3              0              8             8             8             8
138       1      "Chief Skeleton Warrior"             85      23000     0         340         390         340       0              520          190           3           0            1             3           400         2000          10          2           300        400         3              0              7             7             7             7
139       1      "Chief Skeleton Archer"              87      26000     0         390         430         380       0              590          200           3           0            5             7           400         1600          10          2           300        400         3              0              7             7             7             7
140       1      "Dark Skull Soldier"                 90      32000     0         430         480         400       0              660          230           3           0            1             3           400         2000          10          2           250        300         3              0              7             7             7             7
141       1      "Giant Ogre"                         93      37000     0         470         520         440       0              730          250           3           17           5             7           400         1600          10          2           250        300         3              0              7             7             7             7
142       1      "Red Skeleton Knight"                98      45000     0         510         560         490       0              800          270           3           0            1             3           400         2000          10          2           200        200         3              0              7             7             7             7
143       1      "Magic Skeleton"                     102     55000     0         560         600         550       0              870          310           4           150          4             6           400         1800          10          2           150        100         4              0              10            10            10            10
144       1      "Death Angel"                        24      740       0         80          87          30        0              100          24            3           17           6             7           500         1500          10          2           160        0           3              0              11            11            11            11
145       1      "Death Centurion"                    33      1250      0         110         117         50        0              145          39            3           17           6             7           500         1500          10          2           160        0           3              0              13            13            13            13
146       1      "Blood Soldier"                      21      600       0         70          77          25        0              88           20            3           17           6             7           500         1500          10          2           180        0           3              0              10            10            10            10
147       1      "Aegis"                              17      440       0         55          62          17        0              75           17            3           17           1             7           500         1500          10          2           180        0           3              0              8             8             8             8
148       1      "Rogue Centurion"                    19      500       0         60          67          20        0              80           18            3           17           2             5           500         1500          10          2           180        0           3              0              9             9             9             9
149       1      "Necron"                             28      900       0         95          102         38        0              118          30            3           17           2             5           500         1500          10          2           160        0           3              0              12            12            12            12
150       1      "Bali"                               52      5000      0         165         170         100       0              260          75            3           0            1             7           400         1600          100         2           160        20          3              0              6             6             6             6
151       1      "Soldier"                            58      4000      0         175         180         110       0              290          86            3           0            4             7           400         1600          100         2           160        20          3              0              6             6             6             6
152       1      "Magic stone of %s"                  10      50        0         0           0           0         0              0            0             0           0            0             0           0           0             0           2           0          0           0              0              0             0             0             0
153       1      "Magic stone of %s"                  10      50        0         0           0           0         0              0            0             0           0            0             0           0           0             0           2           0          0           0              0              0             0             0             0
154       1      "Magic stone of %s"                  10      50        0         0           0           0         0              0            0             0           0            0             0           0           0             0           2           0          0           0              0              0             0             0             0
155       1      "Magic stone of %s"                  10      50        0         0           0           0         0              0            0             0           0            0             0           0           0             0           2           0          0           0              0              0             0             0             0
156       1      "Magic stone of %s"                  10      50        0         0           0           0         0              0            0             0           0            0             0           0           0             0           2           0          0           0              0              0             0             0             0
157       1      "Magic stone of %s"                  10      50        0         0           0           0         0              0            0             0           0            0             0           0           0             0           2           0          0           0              0              0             0             0             0
158       1      "Magic stone of %s"                  10      50        0         0           0           0         0              0            0             0           0            0             0           0           0             0           2           0          0           0              0              0             0             0             0
160       1      "Schriker"                           40      1800      0         130         137         66        0              180          50            3           17           6             7           500         1600          10          2           160        0           4              0              14            14            14            14
161       1      "Illusion of Kundun"                 52      3000      0         165         172         90        0              255          70            3           150          10            7           800         1700          10800       2           140        0           4              0              30            30            30            30
162       1      "Chaos Castle 1"                     30      700       0         70          90          30        0              160          20            50          0            1             7           400         2000          10          2           300        400         3              0              0             0             0             0
163       1      "Chaos Castle 2"                     32      800       0         80          100         40        0              180          30            50          17           6             7           400         1600          10          2           300        400         3              0              0             0             0             0
164       1      "Chaos Castle 3"                     40      1600      0         132         135         75        0              225          60            50          0            1             7           400         2000          10          2           300        400         3              0              1             1             1             1
165       1      "Chaos Castle 4"                     45      2700      0         150         150         90        0              250          70            50          17           6             7           400         1600          10          2           300        400         3              0              1             1             1             1
166       1      "Chaos Castle 5"                     54      4000      0         168         165         105       0              270          80            50          0            1             7           400         2000          10          2           300        400         3              0              2             2             2             2
167       1      "Chaos Castle 6"                     60      5000      0         180         180         120       0              290          90            50          17           6             7           400         1600          10          2           300        400         3              0              2             2             2             2
168       1      "Chaos Castle 7"                     65      6500      0         185         210         145       0              320          110           50          0            1             7           400         2000          10          2           300        400         3              0              4             4             4             4
169       1      "Chaos Castle 8"                     68      8000      0         205         230         160       0              350          120           50          17           6             7           400         1600          10          2           300        400         3              0              4             4             4             4
170       1      "Chaos Castle 9"                     70      10000     0         215         240         170       0              370          120           50          0            1             7           400         2000          10          2           300        400         3              0              5             5             5             5
171       1      "Chaos Castle 10"                    75      12500     0         235         260         190       0              400          130           50          17           6             7           400         1600          10          2           300        400         3              0              5             5             5             5
172       1      "Chaos Castle 11"                    76      15000     0         255         280         215       0              430          140           50          0            1             7           400         2000          10          2           300        400         3              0              6             6             6             6
173       1      "Chaos Castle 12"                    80      18000     0         280         300         240       0              470          150           50          17           6             7           400         1600          10          2           300        400         3              0              6             6             6             6
174       1      "Death Angel"                        40      1800      0         130         137         57        0              182          45            3           17           6             7           500         1500          10          2           160        0           3              0              14            14            14            14
175       1      "Death Centurion"                    48      3000      0         155         162         81        0              235          58            3           17           6             7           500         1500          10          2           160        0           3              0              16            16            16            16
176       1      "Blood Soldier"                      37      1400      0         120         127         50        0              163          40            3           17           6             7           500         1500          10          2           180        0           3              0              13            13            13            13
177       1      "Aegis"                              32      1000      0         105         112         42        0              135          33            3           17           1             7           500         1500          10          2           180        0           3              0              11            11            11            11
178       1      "Rogue Centurion"                    34      1200      0         112         119         45        0              147          36            3           17           2             5           500         1500          10          2           180        0           3              0              12            12            12            12
179       1      "Necron"                             44      2300      0         140         147         68        0              205          50            3           17           2             5           500         1500          10          2           160        0           3              0              15            15            15            15
180       1      "Schriker"                           53      3900      0         180         187         100       0              275          67            3           17           6             7           500         1600          10          2           160        0           4              0              17            17            17            17
181       1      "Illusion of Kundun"                 65      6000      0         220         227         140       0              355          100           3           150          10            7           800         1700          10800       2           140        0           4              0              35            35            35            35
182       1      "Death Angel"                        53      4400      0         175         185         105       0              273          67            3           17           6             7           500         1500          10          2           150        0           3              0              17            17            17            17
183       1      "Death Centurion"                    63      6600      0         225         235         150       0              325          92            3           17           6             7           500         1500          10          2           150        0           3              0              19            19            19            19
184       1      "Blood Soldier"                      50      3650      0         160         170         90        0              250          60            3           17           6             7           500         1500          10          2           170        0           3              0              16            16            16            16
185       1      "Aegis"                              46      2700      0         145         155         73        0              220          54            3           17           1             7           500         1500          10          2           170        0           3              0              14            14            14            14
186       1      "Rogue Centurion"                    48      3100      0         152         162         80        0              232          56            3           17           2             5           500         1500          10          2           170        0           3              0              15            15            15            15
187       1      "Necron"                             58      5300      0         195         205         126       0              296          77            3           17           2             5           500         1500          10          2           150        0           3              0              18            18            18            18
188       1      "Schriker"                           69      8400      0         260         270         180       0              365          110           3           17           6             7           500         1600          10          2           150        0           4              0              20            20            20            20
189       1      "Illusion of Kundun"                 81      14000     0         350         360         255       0              460          160           3           150          10            7           800         1700          10800       2           130        0           4              0              40            40            40            40
190       1      "Death Angel"                        74      12000     0         270         295         185       0              397          120           3           17           6             7           500         1500          10          2           140        0           3              0              20            20            20            20
191       1      "Death Centurion"                    83      22500     0         350         375         255       0              500          175           3           17           6             7           500         1500          10          2           140        0           3              0              22            22            22            22
192       1      "Blood Soldier"                      70      8800      0         245         265         165       0              360          105           3           17           6             7           500         1500          10          2           160        0           3              0              19            19            19            19
193       1      "Aegis"                              62      6000      0         215         235         140       0              310          87            3           17           1             7           500         1500          10          2           160        0           3              0              17            17            17            17
194       1      "Rogue Centurion"                    66      6900      0         230         250         150       0              330          95            3           17           2             5           500         1500          10          2           160        0           3              0              18            18            18            18
195       1      "Necron"                             78      16000     0         305         330         215       0              440          145           3           17           2             5           500         1500          10          2           140        0           3              0              21            21            21            21
196       1      "Schriker"                           88      30000     0         410         435         300       0              575          215           3           17           6             7           500         1600          10          2           140        0           4              0              23            23            23            23
197       1      "Illusion of Kundun"                 100     50000     0         600         625         500       0              780          295           3           150          10            7           800         1700          10800       2           120        0           4              0              45            45            45            45
200       1      "Soccer Ball"                        12      1000      0         150         200         0         0              60           500           0           0            4             1           500         1000          3           1           200        20          0              0              0             0             0             0
204       1      "Wolf Status"                        2       50        0         15          30          70        20             10           30            0           0            0             0           0           0             0           0           0          0           0              0              0             0             0             0
205       1      "Wolf Altar 1"                       2       50        0         15          30          70        20             10           30            0           0            0             0           0           0             0           0           0          0           0              0              0             0             0             0
206       1      "Wolf Altar 2"                       2       50        0         15          30          70        20             10           30            0           0            0             0           0           0             0           0           0          0           0              0              0             0             0             0
207       1      "Wolf Altar 3"                       2       50        0         15          30          70        20             10           30            0           0            0             0           0           0             0           0           0          0           0              0              0             0             0             0
208       1      "Wolf Altar 4"                       2       50        0         15          30          70        20             10           30            0           0            0             0           0           0             0           0           0          0           0              0              0             0             0             0
209       1      "Wolf Altar 5"                       2       50        0         15          30          70        20             10           30            0           0            0             0           0           0             0           0           0          0           0              0              0             0             0             0
215       1      "Shield"                             2       50        0         15          30          70        20             10           30            0           0            0             5           400         1500          10          0           200        10          0              0              0             0             0             0
216       1      "Crown"                              2       50        0         15          30          70        20             10           30            0           0            0             0           0           0             0           0           0          0           0              0              0             0             0             0
217       1      "Crown Switch 2"                     2       50        0         15          30          70        20             10           30            0           0            0             0           0           0             0           0           0          0           0              0              0             0             0             0
218       1      "Crown Switch 1"                     2       50        0         15          30          70        20             10           30            0           0            0             0           0           0             0           0           0          0           0              0              0             0             0             0
219       1      "Castle Gate Switch"                 2       50        0         15          30          70        20             10           30            0           0            0             0           0           0             0           0           0          0           0              0              0             0             0             0
220       1      "Gatekeeper"                         2       50        0         15          30          70        20             10           30            0           0            0             0           400         1500          0           0           0          0           0              0              0             0             0             0
