//Index   Message
378       "Armada of Balgass will attack in %d second(s)"
379       "Armada of Balgass will attack in %d minute(s)"
380       "Without protection of elven statue of holy wolf was unprotected"
381       "Balgass is coming! Protect statue of holy wolf"
382       "Armada of Balgass began attacking statue of holy wolf"
383       "Armada of Balgass was defeated with help of heroes"
384       "MvP Rank: %d"
385       "MvP Experience: %d"
386       "Balgass was killed by %s!"
387       "Balgass was dead!"
388       "Dark Elf %d was killed by %s!"
389       "MvP Point: %d"
390       "Connected to altar %d"
391       "%s is connected to altar %d"
392       "Altar was connected %d"
393       "Connection period to pedestal %d not started yet"
394       "Altar %d already has connected more than 2 times"
395       "Position to connect to altar %d is wrong" 
396       "%s is trying to connect to altar %d"
397       "You will be connected to altar in 5 second(s)" 
398       "Do not move until connection is complete"  
399       "Connection to altar %d was canceled"
400       "Statue of barrier of holy wolf disappeared" 
401       "Number of connections: %d, statue of Life: %d" 
402       "Holy wolf statue barrier was created"
403       "Connection requires a level 260 or higher"
416       "Castle Siege ended"
417       "Castle Siege registration period began"
418       "Registration of Castle Siege emblems period started"
419       "Period of selection of Castle Siege guilds started"		
420       "Selection of Castle Siege guilds completed"
421       "Prep period for Castle Siege started"
422       "Castle Siege will start in %d minute(s)"
423       "Castle Siege is being disputed"
424       "Guild %s was well succeeded in defending castle"
425       "Guild %s became new owner of castle"
426       "Owner of castle was not set"
427       "Only Guardian statue left"
432       "Position of player %s has been changed to Guild Leader Assistant"
433       "Position of player %s has been changed to Battlemaster"
434       "Position of player %s has been changed to Guild Member"
435       "Type of guild %s was changed to %d"
436       "Guild has entered alliance %s"
437       "Guild is now enemy of guild %s"
438       "Guild %s entered alliance %s"
439       "Guild withdrew from alliance"
440       "Guild %s withdrew from alliance %s"
441       "Guild is not more alliance %s"
442       "Guild is not more enemy guild %s"
443       "Alliance was undone %s"
448       "You can not invoke Life Stone outside Castle Siege"
449       "Only offensive alliance can invoke Life Stone"
450       "A Life Stone has been invoked"
451       "You can not invoke Life Stone inside Dragon Tower"
452       "A Life Stone was successfully invoked"
453       "A Life Stone failed to be invoked"
464       "You can not invoke soldier out of Castle Siege"
465       "Only defensive alliance can invoke soldier"
466       "Only guild leader and his assistant can invoke soldier"
467       "Maximum number of soldiers has been exceeded"
468       "Soldier has been successfully invoked"
469       "Soldier failed to be invoked"
480       "Server closed"
481       "Server will automatically close in %d second(s)"
482       "This is a duplicate item, please contact with administrator"
483       "Your chat lockout ended"
484       "You will quit game in %d second(s)"
485       "Self defense against %s started"
486       "Self defense against %s finished"
487       "Server will shut down automatically in 1 minute(s)"
488       "Server will shut down automatically in 3 minute(s)"
489       "Server will shut down automatically in 5 minute(s)"
490       "Game will start automatically in 10 seconds(s)"
491       "%s won %d Jewel of Bless" 
end
